Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
MT-T45 Black - 3000K - 36°;Magnetic spotlight Power: 9W Angle: 15Â°/24Â°/36Â° CCT: 2700K/3000K/4000K Lumen: 100lm/w;278,40;30,00;278,40;30,00;
RS-D16P-24V06-2024CA-400D LED Strip Light(9405429000);Neon Strip 14W 2700K+4000K Double Layer;428,58;30,00;428,58;30,00;
ETMINIU36500;MINIU-3.6-500;72,30;30,00;72,30;30,00;
AS2525-BK-EC&EO;Black aluminum endcap (one with  hole one without hole);23,20;29,00;23,20;29,00;
PSH44Komp.B;INDURENTE;758,00;28,00;758,00;28,00;
20000-A-044;20000-A-044 - Palo luce 1,310m;3008,52;27,00;3008,52;27,00;
PWM-120-24DA2;Driver Led 120W IP 67 DALI;709,23;27,00;709,23;27,00;
RS-3020-24V15-2835T-480D;Neon Strip led DC24V 20W/m 480pcs SMD 2835 15mm white double layer >90 2700K IP67 Neon (30x20mm Top bend) one end with length 2m / 0.55m/pc (~0.54m);247,00;26,00;247,00;26,00;
RS-LL3020 LED Accessory;Fixed card slot for 30mmx20mm Neon LED strip light;31,20;26,00;31,20;26,00;
GPC01;Gamma Piastra;0,00;25,00;0,00;25,00;
BORCHIA ALLUMINIO DIAM 240;BORCHIA ALLUMINIO DIAM 240;225,00;25,00;225,00;25,00;
GPC02;Gamma Piastra;0,00;25,00;0,00;25,00;
Strutture in ferro konos;Strutture in ferro konos;1000,00;25,00;1000,00;25,00;
Staffa Shinstreet Duo;Staffa Shinstreet Duo;462,50;25,00;462,50;25,00;
PWM-60-24DA2;Driver led Meanweel 60W 230/24Vdc DALI IP 67;463,50;25,00;463,50;25,00;
PMX01;PMMA per lampada emergenza 10x12 spessore;0,00;25,00;0,00;25,00;
GSX01;Staffa;0,00;24,00;0,00;24,00;
LT-240-24-DALI;LT-240-24-DALI;750,24;24,00;750,24;24,00;
TO40;TUBO OTTONE 40 cm;0,00;24,00;0,00;24,00;
3002-A;3002-A;260,59;23,00;260,59;23,00;
PFX01;Staffa Gamma con foro per cavo;160,00;23,00;160,00;23,00;
NS-115;Flexible Wall Washer, LENGHT: , Dark grey jacket ,Dual bend, 250mm/cut, 23×23mm, 24leds/m, IP67, CRI>80, 3000K, 18W/M,1600lm/M, 24V ,15°;2396,06;23,00;2396,06;23,00;
052-0002;052-0002;217,58;23,00;217,58;23,00;
PFX02;Staffa Gamma;160,00;23,00;160,00;23,00;
Stecche "U";Stecche "U" ottone 8x8 cm 80;0,00;23,00;0,00;23,00;
2002-A;2002-A;270,48;23,00;270,48;23,00;
5210-A-10;5210-A-10;37,03;23,00;37,03;23,00;
MT-PS150W-Y;Recessed driver 150W;329,70;22,00;329,70;22,00;
GEWDX25320;RK15/20G-3M TUBO RIGIDO MEDIO GRIGIO;14,07;21,00;14,07;21,00;
CFN;CLIPS DI FISSAGGIO NIKEL;25,00;20,00;25,00;20,00;
LENS 24° for M20-T1P-70D-25;LENS for M20 70mm Dia Magnetic Spot/Track Light, Beam Angle: 24 Deg;9,20;20,00;9,20;20,00;
Attacco tenda 1;Attacco tenda 1;0,00;20,00;0,00;20,00;
MT-J02;I-SOFTCONNECTOR;53,20;20,00;53,20;20,00;
Pancale 60x80cm;Pancale in legno;60,00;20,00;60,00;20,00;
LENS 15° for M20-T1P-50D10;LENS for M20 50mm Dia Magnetic Spot/Track Light, Beam Angle: 15 Deg;7,60;20,00;7,60;20,00;
Attacco tenda 2;Attacco tenda 2;0,00;20,00;0,00;20,00;
LENS 24° for M20-T1P-50D-10;LENS for M20 50mm Dia Magnetic Spot/Track Light, Beam Angle: 24 Deg;7,60;20,00;7,60;20,00;
COSMOS18-TW;Faretto da incasso Cosmos18 Tunable White. Input Voltage: 220Vac - Power: 18W - CCT: 2700K/6000K - Beam angle: 36Â° - IP20 - CRI90 - Size:54.7H100mm - Cutout:64mm - Finitura: White;445,80;20,00;445,80;20,00;
EA-100-A102;Size:D100*H95MM  ( with Anti-glare cover) CCT:Tunable White (2700K–6000K)  LED:XTE/4LED  Beam Angle 30°   Voltage:DC24V   LED Brand:CREE  Body Color: RAL9004  Black Control way:DMX512 IP Rate: IP67 Warranty:3 years;670,20;20,00;670,20;20,00;
LT-240-48;48V 240W LED Driver (CV);493,20;20,00;493,20;20,00;
EL-S;Lampada segnaletica a soffitto, con kit di emergenza remoto;600,00;20,00;600,00;20,00;
LT-240-24;Alimentatore LT-240-24;466,00;20,00;466,00;20,00;
DMX splitter 2CH;DMX splitter 2CH;1280,00;20,00;1280,00;20,00;
SL194000KIP65;Strip led 19,2W/mt 4000K CRI>90 IP65 5m/roll;415,00;20,00;415,00;20,00;
SOSTCON;Sostituzione connettori;0,00;20,00;0,00;20,00;
M20-T1P-50D-10 3000K Black;Proiettore da binario fissaggio rapido 10W CRI90 D50xL100mm - Finitura: Black;458,00;20,00;458,00;20,00;
MT-F300 Black - 3000K;Magnetic floodlight Power: 8W Angle: 90Â° Lumen: 600lm/w;121,00;20,00;121,00;20,00;
PL-70 IP65;Pole Ligt 70CM in IP65;1180,00;20,00;1180,00;20,00;
LCM-40DA2;LCM-40DA2;406,80;20,00;406,80;20,00;
M20-G1-65L-36-TW-DALI;Proietttore luce lineare spot G1 DALI Tunable White. Input Voltage: 48Vdc - Power:36W - CCT:2700K/6000K - Beam angle: 24Â° - IP20 - dimension:652*22*25mm - Finitura:White;847,40;20,00;847,40;20,00;
DS82562412NO8WW-5MT;Led Strip CC SMD2835 OSRAM 256led/m, 39W/m, 3000K, 4610lm, CRI>80, 24V, 12mm pcb, IP20, 5m/reel both sides 12 cm wires HUSH;1240,00;20,00;1240,00;20,00;
XLG-25-A;Driver Maenweel 230Vac 700mA IP67;199,00;20,00;199,00;20,00;
LT-75-24-DALI;LT-75-24-DALI;351,80;20,00;351,80;20,00;
MT-L600 Black - 3000K;Magnetic floodlight - Power: 16W Angle: 90Â° Lumen: 1080lm/w;234,80;20,00;234,80;20,00;
M20-G1-43L-24 Black;Proiettore Linear Spot 24W CRI90;422,00;20,00;422,00;20,00;
MT-T25 - Lens 15°;Lens for MT-T25;9,00;20,00;9,00;20,00;
Driver RGB;Driver per ministar RGB;0,00;20,00;0,00;20,00;
SL193000KIP65;Strip led 19,2W/mt 3000K 240Led/m CRI80 IP65 Silicone Glue Coated;415,00;20,00;415,00;20,00;
