Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
DZ0152;DADO F. ZINCATO 10x1 CH13 SP.3MM;10,10;5,00;10,10;5,00;
CY-P9PX10W-R;Former B faretto da incasso. Input Voltage: 220Vac - CCT: 3000K - Beam angle: lens 36° - Power: 10W - Size:D90*H85mm - Cutout: 85mm - Standard Finiture: Black, with gold color front ring- DIM: ON/OFF，with CREE COB and Eaglerise ON/OFF driver;46,40;5,00;46,40;5,00;
LANTERNA BRANDY;LANTERNA BRANDY;425,00;5,00;425,00;5,00;
6042-A;base x palo;583,47;5,00;583,47;5,00;
6043-A;finestra x 6042-A;41,77;5,00;41,77;5,00;
Adeguamento materia prima;Adeguamento materia prima;257,20;5,00;257,20;5,00;
AL5005MERNRAS;CAPITAL 100 RGBW MEDIUM 23° RGB+W 4000K DMX-RDM ANTHRACITE RAL 7016 POWER IN, DMX IN, DMX OUT;2252,00;4,00;2252,00;4,00;
5014-A;Dima per fissaggio base ;20,68;4,00;20,68;4,00;
RS-1615-24V10-RGBW5050T-70D-IP68 LED Strip Light (9405429000);DC24V, 15W/m, 70 pcs SMD 5050, PCB 10mm white double layer, Size 16x15mm (TOP BEND), CRI >90, Colore RGBW 3000K, IP68 Neon Extrusion, Accessori: 2pcs end caps per roll, Cablaggio: One end with 8m long black cable (straight entry);521,86;4,00;521,86;4,00;
5020-A;Tirante zincato M10;12,48;4,00;12,48;4,00;
5021-A;Bullone cieco M10;5,80;4,00;5,80;4,00;
RS-D18P2-24V06-2121RGB-180D LED STRIP LIGHT (9405429000);Neon Strip 18W RGB Double Layer;414,00;4,00;414,00;4,00;
DIM24-50 V2;Almentatore 50W dimmerabile Triac;0,00;4,00;0,00;4,00;
NMS0410-9SW24CDN050 CC0500-MC1;Neon Strip 0410 SIDE VIEW 7.2W, 2700K, 240lm, 24V, PZ 4 CRI>90, IP65 METAL END CAPS, 50cm double end  cables, 5mt reel;177,40;4,00;177,40;4,00;
Roulette Americana;LAMPADA DA TAVOLO MOD ROULETTE POLE;0,00;4,00;0,00;4,00;
LK-E07S-SR00B;E07 Bulb base with ceiling base Cable: 1m Material: Silicone without bulb Finished Color: Green;6,00;4,00;6,00;4,00;
p.croce.100;Piantana Croce H100Cm con contorno Led;1800,00;4,00;1800,00;4,00;
0012A2300B;SPINA S/TERRA BIANCA;2,49;3,00;2,49;3,00;
SKR-R-500;Proiettore lineare recessed SKR-R -Input voltage: 24vdc - Power: 24W - Beam angle: 12° - CCT: 3000K - Dimension: L500*W42*H65mm - Finiture: Alluminium;165,00;3,00;165,00;3,00;
028321;INTERRUTTORE NERO;3,51;3,00;3,51;3,00;
