"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"KIT_C2";"Kit illuminazione vetrinetta con ante C2";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"KIT_C3";"Kit illuminazione vetrinetta con ante C3";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"AL5004MER3";"DUNE MC MK3 RGBW MEDIUM RGB+W 3000K";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"AL5014WLR3RGS2";"CAPITAL 300 RGBW ELLIPTICAL WIDE RGB+W 3000K DMX-RDM GREY RAL 9006 POWER IN, DMX IN, DMX OUT CLASS II";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"Trasmittente XT2 868 SLH LR Bian";"Trasmittente XT2 868 SLH LR Bianca";"";"Semplice";"";"";"0";"17,26";"0,0000000000";"1";"0";"IVA 22%";"Giacomo";"false"
"";"BETA14-0,66";"Profilo Beta (17x08mm) lunghezza: 66cm + Led strip 14W/m 2700K IP20";"";"Semplice";"";"";"0";"";"";"1";"19,8";"IVA 22%";"Giacomo";"false"
"";"KIPIOL-RGBW";"Proiettore Kipio L RGBW Dmx. Input Voltage: 24Vdc/230Vac - Power: 50W - CCT: RGBW - Beam angle: 20° - IP66 - Finitura: Grey";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"KIPIOL-RGBW-P";"Proiettore Kipio L RGBW Dmx. Input Voltage: 230Vac - Power: 50W - CCT: RGBW - Beam angle: 20° - IP66 - Finitura: Grey";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"FLOOR2-PRO";"Incasso a terra Floor 2 PRO. Input Voltage: 220Vac - Power: 10W - CCT: 3000K - Beam angle: 60° - IP67";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"GAMMA19,2";"Profilo 17x15 ""Profili + strip 19,2W/mt 3000K IP65 + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"HC03-W4-R10ST";"Faretto da incasso nel cartongesso quadrato, Input Voltage: 220Vac - Power: 10W - CCT: 3000K - Beam angle: 38° - CRI90 - IP44 - Size: L74*W74*H91mm - Cutout: 77*77mm  - Finitura: White";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"IOTA14-1900";"Profilo angolare (16x16mm) ""Profili 1900mm + strip 14W/mt 2700K + tappi + clip di fissaggio""";"";"";"Semplice";"";"";"0";"";"";"1";"37,05";"IVA 22%";"Giacomo"
"";"IOTA14-1750";"Profilo angolare (16x16mm) ""Profili 1750mm + strip 14W/mt 2700K IP20 + tappi + clip di fissaggio""";"";"";"Semplice";"";"";"0";"";"";"1";"34,13";"IVA 22%";"Giacomo"
"";"FLOORPRO-12";"Proiettore da incasso FLOOR PRO 12. Input Voltage: 24Vdc - Power: 12W - CCT: 3000K - Beam angle: 45° - IP67";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"4-604";"Chandelier in plexiglass opalino e ottone, misure: H92xD80";"";"Semplice";"";"";"0";"";"";"1";"4343,4";"IVA 22%";"Giacomo";"false"
"";"4-608";"Lampada da tavolo con stelo oro antico e base nera. paralume in lino bianco. Misure: H60xD25";"";"Semplice";"";"";"0";"";"";"1";"1812,6";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-200";"Profilo Adonis (08x09mm) ""Profilo 200cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-1080";"Profilo Adonis (08x09mm) ""Profilo 1080cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-240";"Profilo Adonis (08x09mm) ""Profilo 240cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-160";"Profilo Adonis (08x09mm) ""Profilo 160cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-422";"Profilo Adonis (08x09mm) ""Profilo 422cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-225";"Profilo Adonis (08x09mm) ""Profilo 225cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"ADONIS14-260";"Profilo Adonis (08x09mm) ""Profilo 260cm + strip 14W/mt 2700K + tappi + clip di fissaggio"".";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"RS-D16P-24V06-2024CA-400D LED St";"Neon Strip 14W 2700K+4000K Double Layer";"";"Semplice";"";"";"0";"";"";"1";"0";"";"Giacomo";"false"
"";"SL2108AE-1 10W 3000K 60° DC24V I";"SL2108AE-1 10W 3000K 60° DC24V IP67 ON/OFF";"";"Semplice";"";"";"0";"59";"0,0000000000";"1";"0";"IVA 22%";"Giacomo";"false"
"";"D25-RGB-5M";"Round Neon strip D25. Input Voltage: 24Vdc - Power: 20W/m - CCT: RGB - IP67";"";"Semplice";"";"";"0";"";"";"1";"247,5";"IVA 22%";"Giacomo";"false"
"";"D18-RGB -5M";"Round Neon strip D18. Input Voltage: 24Vdc - Power: 18W/m - CCT: RGB - IP67 - Lunghezza:5m";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP80-50";"External lamp diameter: 80 cm | Cylindrical glass diameter: 50 mm";"";"Semplice";"";"";"0";"";"";"1";"22400";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP100-50";"External lamp diameter: 100 cm | Cylindrical glass diameter: 50 mm";"";"Semplice";"";"";"0";"";"";"1";"26133";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP140-50";"External lamp diameter: 140 cm | Cylindrical glass diameter: 50 mm";"";"Semplice";"";"";"0";"";"";"1";"34844";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP80-70";"External lamp diameter: 80 cm | Cylindrical glass diameter: 70 mm";"";"Semplice";"";"";"0";"";"";"1";"16800";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP100-70";"External lamp diameter: 100 cm | Cylindrical glass diameter: 70 mm";"";"Semplice";"";"";"0";"";"";"1";"19600";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP140-70";"External lamp diameter: 140 cm | Cylindrical glass diameter: 70 mm";"";"Semplice";"";"";"0";"";"";"1";"26133";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP80-80";"External lamp diameter: 80 cm | Cylindrical glass diameter: 80 mm";"";"Semplice";"";"";"0";"";"";"1";"15680";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP100-80";"External lamp diameter: 100 cm | Cylindrical glass diameter: 80 mm";"";"Semplice";"";"";"0";"";"";"1";"18293";"IVA 22%";"Giacomo";"false"
"";"CUSTOMLAMP140-80";"External lamp diameter: 140 cm | Cylindrical glass diameter: 80 mm";"";"Semplice";"";"";"0";"";"";"1";"24391";"IVA 22%";"Giacomo";"false"
"";"Paletto Brandy";"Paletto Brandy";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"CLOUD_ESSENTIALS_1Y";"Cloud Control - ESSENTIALS - 1 year";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"COSMOS10-R";"Faretto da incasso Cosmos10-R. Input Voltage: 220V - Power: 10W - CCT: 3000K - CRI90 - IP20";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"M20-G1-11L-06";"M20 series Magnetic Linear spot Light. Input Voltage: 48Vdc - Power: 6W - CCT: 3000K - CRI90 - Beam angle: 24° - Size:L113*W22*H25 - Finitura: Black";"";"Semplice";"";"";"0";"";"";"1";"43,33";"IVA 22%";"Giacomo";"false"
